ID_Participante,ID_Cancion,ABRUMADO,ADMIRACIÓN,AGITADO,AGITADO(15),AGRADABLE,ALEGRE,ANIMADO,ATADO,CALMA,CARIÑOSO,CONMOVIDO,ENSUEÑO,ENÉRGICO,EUFÓRICO,FUERTE,NOSTALGICO,SENTIMENTAL,SERENO,SUAVE,TENSO,TIERNO,TRANQUILO,TRASCENDENCIA,TRISTE,TRIUNFANTE,Genero
P01,B5,5,0,4,0,0,0,0,5,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,ROCK
,C4,0,5,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,3,0,0,HIP HOP
,FF8,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,0,0,4,SALSA
,H5,0,3,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,BLUES
,II2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,CORRIDO TUMBADO
,M2,4,0,0,5,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,PUNK
,N3,0,3,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,SOUL
,O3,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,WORLD MUSIC
,S1,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,0,0,0,DISCO
,V5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,DANCE
P02,CC4,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,ROCK ESPAÑOL
,DD4,4,0,5,0,0,0,0,5,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,RAP
,E4,0,0,0,0,5,0,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,JAZZ
,G5,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,4,0,0,0,COUNTRY
,J4,0,0,0,0,0,4,0,0,4,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,FOLK
,KK7,0,0,2,0,0,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,MERENGUE
,L3,0,0,4,0,0,0,0,2,0,0,0,0,0,4,5,0,0,0,0,4,0,0,0,0,0,PROGRESSIVE ROCK
,R3,3,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,0,0,J POP
,T4,0,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,2,ROCK ALTERNATIVO
,X3,0,5,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,INDIE
P03,A2,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,POP
,D3,0,5,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,ELECTRÓNICA
,EE7,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,3,0,3,0,0,0,0,REGGAE ESP
,JJ6,0,0,3,0,0,0,3,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,BANDA NORTEÑO
,K1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,0,0,0,1,0,NU METAL
,O2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,3,0,4,0,0,0,5,WORLD MUSIC
,P5,0,0,5,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,ALTERNATIVO
,Q1,3,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,HARD ROCK
,R2,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,4,4,0,0,0,0,0,0,J POP
,S2,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,5,DISCO
P04,C2,0,0,5,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,HIP HOP
,EE4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,REGGAE ESP
,F1,0,0,0,0,5,0,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,REGGAE
,G1,4,3,0,0,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COUNTRY
,KK8,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,4,MERENGUE
,L2,0,4,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,PROGRESSIVE ROCK
,T4,0,0,0,0,5,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,ROCK ALTERNATIVO
,U2,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,5,HOUSE
,W5,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,3,0,0,TRAP
,Y3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,K POP
P05,CC8,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,ROCK ESPAÑOL
,DD4,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,5,RAP
,E2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,5,JAZZ
,FF5,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,SALSA
,I3,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,METAL
,J3,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,FOLK
,M4,0,5,0,0,0,0,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,PUNK
